JULIAN_DAY,YEAR,L,W,A,TIME,MONTH,DAY
177,2003,103,18.8,20.4,177,6,26
178,2003,103,20.7,22.5,178,6,27
179,2003,103,22.7,27.8,179,6,28
180,2003,103,21.7,19.1,180,6,29
181,2003,103,19.5,25.2,181,6,30
182,2003,103,19.6,24.7,182,7,1
183,2003,103,18.7,20.8,183,7,2
184,2003,103,19.4,21.8,184,7,3
185,2003,103,18.6,20.4,185,7,4
186,2003,103,18.5,20.2,186,7,5
187,2003,103,18.4,21.6,187,7,6
188,2003,103,18.2,21,188,7,7
189,2003,103,22,26.6,189,7,8
190,2003,103,22,25.9,190,7,9
191,2003,103,23,26,191,7,10
192,2003,103,21.7,22.2,192,7,11
193,2003,103,23.3,29.1,193,7,12
194,2003,103,22.4,20.8,194,7,13
195,2003,103,19.9,19.6,195,7,14
196,2003,103,20.6,23.7,196,7,15
197,2003,103,20.2,21.7,197,7,16
198,2003,103,21.9,26.7,198,7,17
199,2003,103,22.8,27.6,199,7,18
200,2003,103,22,24.4,200,7,19
201,2003,103,21.1,21.5,201,7,20
202,2003,103,21.7,24.6,202,7,21
203,2003,103,20.7,23,203,7,22
204,2003,103,21.3,24.1,204,7,23
205,2003,103,21.6,25.2,205,7,24
206,2003,103,22.2,28.7,206,7,25
207,2003,103,22.7,32.4,207,7,26
208,2003,103,21.4,24,208,7,27
209,2003,103,22.8,25,209,7,28
210,2003,103,23.8,29.6,210,7,29
211,2003,103,22.5,23.3,211,7,30
212,2003,103,23.2,27.5,212,7,31
213,2003,103,23,28,213,8,1
214,2003,103,23.9,31.9,214,8,2
215,2003,103,23.5,34.6,215,8,3
216,2003,103,NA,NA,216,8,4
217,2003,103,24.1,30.1,217,8,5
218,2003,103,25,32.4,218,8,6
219,2003,103,25.7,32.7,219,8,7
220,2003,103,25.6,35.5,220,8,8
221,2003,103,25.4,29.6,221,8,9
222,2003,103,24,26.7,222,8,10
223,2003,103,24.1,29,223,8,11
224,2003,103,25,37.6,224,8,12
225,2003,103,23.9,28.6,225,8,13
226,2003,103,22.8,22.5,226,8,14
227,2003,103,21.8,25.6,227,8,15
228,2003,103,21.1,25,228,8,16
229,2003,103,21.5,23.7,229,8,17
230,2003,103,23.1,27.5,230,8,18
231,2003,103,22,25.4,231,8,19
232,2003,103,22.9,26.5,232,8,20
233,2003,103,21.8,27.1,233,8,21
234,2003,103,21.2,25.2,234,8,22
235,2003,103,23.2,30.6,235,8,23
236,2003,103,23.2,32.2,236,8,24
237,2003,103,22.1,21.1,237,8,25
238,2003,103,20.8,26.7,238,8,26
239,2003,103,20.8,28,239,8,27
240,2003,103,20.3,27.6,240,8,28
241,2003,103,20.2,22.3,241,8,29
242,2003,103,19.4,22.4,242,8,30
243,2003,103,19,18.8,243,8,31
244,2003,103,18.3,17,244,9,1
245,2003,103,19.3,22.7,245,9,2
246,2003,103,19.6,24,246,9,3
247,2003,103,20.4,25.9,247,9,4
248,2003,103,19.8,23.3,248,9,5
249,2003,103,18.9,18.6,249,9,6
250,2003,103,19.4,23.5,250,9,7
251,2003,103,18.9,22.5,251,9,8
252,2003,103,19.8,22.6,252,9,9
253,2003,103,20.5,26.7,253,9,10
254,2003,103,21.2,27.5,254,9,11
255,2003,103,22.3,28.1,255,9,12
256,2003,103,22.1,31,256,9,13
257,2003,103,22,27.6,257,9,14
258,2003,103,21.7,30.5,258,9,15
259,2003,103,21.1,32.4,259,9,16
260,2003,103,21.2,28.5,260,9,17
261,2003,103,22,29.5,261,9,18
262,2003,103,21.7,30.1,262,9,19
263,2003,103,21,33,263,9,20
264,2003,103,20.4,28.6,264,9,21
265,2003,103,20.1,22.5,265,9,22
266,2003,103,18.7,18.4,266,9,23
267,2003,103,20.1,23.2,267,9,24
268,2003,103,19.6,25.8,268,9,25
269,2003,103,19.2,22.2,269,9,26
270,2003,103,19.5,24,270,9,27
271,2003,103,19.5,23.3,271,9,28
272,2003,103,19.2,23.2,272,9,29
273,2003,103,18.7,23.3,273,9,30
274,2003,103,18.4,21.1,274,10,1
275,2003,103,17.7,20.3,275,10,2
276,2003,103,NA,NA,276,10,3
277,2003,103,18.2,20.1,277,10,4
278,2003,103,17.9,18.7,278,10,5
279,2003,103,17.3,20.5,279,10,6
280,2003,103,17.9,21.4,280,10,7
281,2003,103,17.8,19,281,10,8
282,2003,103,18.5,22.7,282,10,9
283,2003,103,18.6,23.6,283,10,10
284,2003,103,17.9,18.1,284,10,11
285,2003,103,17.4,20.3,285,10,12
286,2003,103,17.4,20.6,286,10,13
287,2003,103,17.4,20,287,10,14
288,2003,103,18.8,21.2,288,10,15
289,2003,103,18.3,23.7,289,10,16
290,2003,103,18.3,19.2,290,10,17
291,2003,103,18.3,18.3,291,10,18
292,2003,103,17.5,17.5,292,10,19
293,2003,103,16.4,14.6,293,10,20
294,2003,103,15.8,15,294,10,21
295,2003,103,15.3,12.2,295,10,22
296,2003,103,14.6,15.1,296,10,23
297,2003,103,16.9,14.7,297,10,24
298,2003,103,16.5,14.4,298,10,25
299,2003,103,16.2,10.3,299,10,26
300,2003,103,16.6,13.4,300,10,27
301,2003,103,16.6,11.5,301,10,28
302,2003,103,16.1,16.6,302,10,29
303,2003,103,16.2,18.8,303,10,30
304,2003,103,15.5,14.2,304,10,31
305,2003,103,14.7,14.6,305,11,1
306,2003,103,13.9,20.2,306,11,2
307,2003,103,12.9,18.3,307,11,3
308,2003,103,12.9,20,308,11,4
309,2003,103,12.5,14.1,309,11,5
310,2003,103,12.9,24.3,310,11,6
311,2003,103,13.6,23.8,311,11,7
312,2003,103,13,22.8,312,11,8
313,2003,103,13,19.2,313,11,9
314,2003,103,13,19.2,314,11,10
315,2003,103,13.3,19,315,11,11
316,2003,103,NA,NA,316,11,12
317,2003,103,NA,NA,317,11,13
318,2003,103,NA,NA,318,11,14
319,2003,103,NA,NA,319,11,15
320,2003,103,NA,NA,320,11,16
321,2003,103,NA,NA,321,11,17
322,2003,103,NA,NA,322,11,18
323,2003,103,11.5,18.7,323,11,19
324,2003,103,11.4,16.6,324,11,20
325,2003,103,11.1,12.3,325,11,21
326,2003,103,11.4,14.2,326,11,22
327,2003,103,11.3,14.6,327,11,23
328,2003,103,11.4,14.4,328,11,24
329,2003,103,11.7,16.9,329,11,25
330,2003,103,12.2,17.2,330,11,26
331,2003,103,11.8,12.6,331,11,27
332,2003,103,11.8,14.3,332,11,28
333,2003,103,11.9,18.8,333,11,29
334,2003,103,12,12.1,334,11,30
335,2003,103,11.3,8.2,335,12,1
336,2003,103,11.2,8,336,12,2
337,2003,103,11,12.3,337,12,3
338,2003,103,10.6,13.4,338,12,4
339,2003,103,10.8,16.3,339,12,5
340,2003,103,10.9,15.9,340,12,6
341,2003,103,11.1,16.7,341,12,7
342,2003,103,10.7,18.2,342,12,8
343,2003,103,10.6,16.2,343,12,9
344,2003,103,10.7,17.7,344,12,10
345,2003,103,10.6,16.7,345,12,11
346,2003,103,11.1,14.8,346,12,12
347,2003,103,10.6,15.9,347,12,13
348,2003,103,11.7,15,348,12,14
349,2003,103,11.4,16,349,12,15
350,2003,103,10.6,13.1,350,12,16
351,2003,103,10.4,14.8,351,12,17
352,2003,103,10.7,12.7,352,12,18
353,2003,103,11.1,10.3,353,12,19
354,2003,103,10.8,14,354,12,20
355,2003,103,10.4,14.1,355,12,21
356,2003,103,10.3,9.6,356,12,22
357,2003,103,10.5,11.2,357,12,23
358,2003,103,10.2,13.4,358,12,24
359,2003,103,9.9,12.9,359,12,25
360,2003,103,9.4,14.6,360,12,26
361,2003,103,10.6,15.5,361,12,27
362,2003,103,10.4,10.5,362,12,28
363,2003,103,10,13.1,363,12,29
364,2003,103,13.5,14.5,364,12,30
365,2003,103,14.5,13.7,365,12,31
1,2008,105,7.9,14,1,1,1
2,2008,105,7.8,15,2,1,2
3,2008,105,8.7,12.4,3,1,3
4,2008,105,9,14.6,4,1,4
5,2008,105,9.4,18,5,1,5
6,2008,105,10.4,18.2,6,1,6
7,2008,105,9.9,12,7,1,7
8,2008,105,9.8,14.2,8,1,8
9,2008,105,10.3,16.3,9,1,9
10,2008,105,NA,NA,10,1,10
11,2008,105,9.5,17.9,11,1,11
12,2008,105,9.5,13.9,12,1,12
13,2008,105,9.3,14.2,13,1,13
14,2008,105,9.3,17.2,14,1,14
15,2008,105,9.3,14.8,15,1,15
16,2008,105,9.6,12.4,16,1,16
17,2008,105,10,16.4,17,1,17
18,2008,105,10.3,17.5,18,1,18
19,2008,105,10.2,17,19,1,19
20,2008,105,9.4,17,20,1,20
21,2008,105,8.8,17.7,21,1,21
22,2008,105,9,13.6,22,1,22
23,2008,105,9.7,16.8,23,1,23
24,2008,105,NA,NA,24,1,24
25,2008,105,9.4,11.5,25,1,25
26,2008,105,9.3,14.1,26,1,26
27,2008,105,8.8,15.4,27,1,27
28,2008,105,8.6,13.1,28,1,28
29,2008,105,8.1,9.8,29,1,29
30,2008,105,NA,NA,30,1,30
31,2008,105,7.8,11.6,31,1,31
32,2008,105,8.5,12.6,32,2,1
33,2008,105,9.4,10.7,33,2,2
34,2008,105,9.3,15.7,34,2,3
35,2008,105,9.7,16,35,2,4
36,2008,105,9.6,19,36,2,5
37,2008,105,10.2,18.3,37,2,6
38,2008,105,NA,NA,38,2,7
39,2008,105,9.4,16.7,39,2,8
40,2008,105,9.4,16.5,40,2,9
41,2008,105,9.3,18.4,41,2,10
42,2008,105,8.9,16.9,42,2,11
43,2008,105,9.1,15.6,43,2,12
44,2008,105,9.3,16.1,44,2,13
45,2008,105,9.3,15.4,45,2,14
46,2008,105,9.7,17.8,46,2,15
47,2008,105,9.7,17,47,2,16
48,2008,105,9.4,16.6,48,2,17
49,2008,105,9.7,15.8,49,2,18
50,2008,105,11.5,18.4,50,2,19
51,2008,105,11.6,16,51,2,20
52,2008,105,12.1,19.4,52,2,21
53,2008,105,11.8,16.6,53,2,22
54,2008,105,12.9,21.9,54,2,23
55,2008,105,12.3,20.3,55,2,24
56,2008,105,11.9,18.3,56,2,25
57,2008,105,11.7,16,57,2,26
58,2008,105,11.8,16.6,58,2,27
59,2008,105,12.2,13.4,59,2,28
60,2008,105,11.5,17.3,60,2,29
61,2008,105,11.8,16.8,61,3,1
62,2008,105,11.9,17.9,62,3,2
63,2008,105,11.8,13.3,63,3,3
64,2008,105,NA,NA,64,3,4
65,2008,105,9.7,10.5,65,3,5
66,2008,105,9.3,9.7,66,3,6
67,2008,105,10,12.5,67,3,7
68,2008,105,10.1,10.8,68,3,8
69,2008,105,9.9,12.2,69,3,9
70,2008,105,NA,NA,70,3,10
71,2008,105,11.4,18.6,71,3,11
72,2008,105,11.5,19.9,72,3,12
73,2008,105,11.8,20.7,73,3,13
74,2008,105,12.3,21.8,74,3,14
75,2008,105,12.3,17.4,75,3,15
76,2008,105,11.8,20,76,3,16
77,2008,105,NA,NA,77,3,17
78,2008,105,11.7,9.6,78,3,18
79,2008,105,10.6,11,79,3,19
80,2008,105,9.7,13,80,3,20
81,2008,105,9.5,13,81,3,21
82,2008,105,NA,NA,82,3,22
83,2008,105,9.4,9.1,83,3,23
84,2008,105,9.8,11.1,84,3,24
85,2008,105,9.8,12,85,3,25
86,2008,105,9.8,12.3,86,3,26
87,2008,105,10.4,17,87,3,27
88,2008,105,10.4,19.8,88,3,28
89,2008,105,11.4,23.4,89,3,29
90,2008,105,10.5,15.8,90,3,30
91,2008,105,10.2,13.8,91,3,31
92,2008,105,10.3,13,92,4,1
93,2008,105,11.5,16.7,93,4,2
94,2008,105,11.6,17.2,94,4,3
95,2008,105,11.9,18.5,95,4,4
96,2008,105,11.7,19.5,96,4,5
97,2008,105,11.5,14.5,97,4,6
98,2008,105,10.7,13.5,98,4,7
99,2008,105,11.8,18,99,4,8
100,2008,105,11.4,15.2,100,4,9
101,2008,105,11.2,13,101,4,10
102,2008,105,10.3,11.6,102,4,11
103,2008,105,11.5,16.2,103,4,12
104,2008,105,11.2,18,104,4,13
105,2008,105,NA,NA,105,4,14
106,2008,105,11.6,17.7,106,4,15
107,2008,105,12,21.7,107,4,16
108,2008,105,12.3,16,108,4,17
109,2008,105,11.4,16.5,109,4,18
110,2008,105,11.1,18.4,110,4,19
111,2008,105,12,19.5,111,4,20
112,2008,105,11.7,13.9,112,4,21
113,2008,105,10.9,17.7,113,4,22
114,2008,105,12.4,19.9,114,4,23
115,2008,105,11.8,19.9,115,4,24
116,2008,105,13.2,23.2,116,4,25
117,2008,105,14.4,26,117,4,26
118,2008,105,14.6,20.3,118,4,27
119,2008,105,14.3,14.6,119,4,28
120,2008,105,13.7,20.8,120,4,29
121,2008,105,13.4,16,121,4,30
122,2008,105,13.2,18,122,5,1
123,2008,105,13.5,22.7,123,5,2
124,2008,105,15,30,124,5,3
125,2008,105,15.5,23,125,5,4
126,2008,105,16.5,22,126,5,5
127,2008,105,16.2,22.6,127,5,6
128,2008,105,16.8,28.2,128,5,7
129,2008,105,16.7,22.7,129,5,8
130,2008,105,14.7,16.4,130,5,9
131,2008,105,11.7,14.3,131,5,10
132,2008,105,12.8,20.5,132,5,11
133,2008,105,13.8,22.7,133,5,12
134,2008,105,14.1,23.7,134,5,13
135,2008,105,NA,NA,135,5,14
136,2008,105,13.8,21.9,136,5,15
137,2008,105,13.6,18.2,137,5,16
138,2008,105,13.5,18.4,138,5,17
139,2008,105,13.5,18.4,139,5,18
140,2008,105,13.3,16.6,140,5,19
141,2008,105,13.8,20,141,5,20
142,2008,105,14.1,21.6,142,5,21
143,2008,105,14.5,20.6,143,5,22
144,2008,105,14.8,24,144,5,23
145,2008,105,14.4,18.2,145,5,24
146,2008,105,12.5,18.5,146,5,25
147,2008,105,13.5,22,147,5,26
148,2008,105,13.1,18.6,148,5,27
149,2008,105,NA,NA,149,5,28
150,2008,105,14.6,22.3,150,5,29
151,2008,105,14.5,19.2,151,5,30
152,2008,105,14.4,18.8,152,5,31
153,2008,105,13.5,17.4,153,6,1
154,2008,105,12.3,19.8,154,6,2
155,2008,105,13.1,20,155,6,3
156,2008,105,13.4,20.6,156,6,4
157,2008,105,13.2,18.2,157,6,5
158,2008,105,13.7,22.7,158,6,6
159,2008,105,14.7,18.6,159,6,7
160,2008,105,14.2,18.8,160,6,8
161,2008,105,13.8,18.9,161,6,9
162,2008,105,13.7,20.5,162,6,10
163,2008,105,13.6,20.5,163,6,11
164,2008,105,15.1,22,164,6,12
165,2008,105,15.1,18,165,6,13
166,2008,105,15.7,21,166,6,14
167,2008,105,15.6,21.6,167,6,15
168,2008,105,15.5,22.5,168,6,16
169,2008,105,14.8,19.8,169,6,17
170,2008,105,14.6,20.2,170,6,18
171,2008,105,15.9,24.5,171,6,19
172,2008,105,16.8,26.4,172,6,20
173,2008,105,18,27.2,173,6,21
174,2008,105,17.9,21.8,174,6,22
175,2008,105,16.6,27.5,175,6,23
176,2008,105,NA,NA,176,6,24
177,2008,105,17.1,22.8,177,6,25
178,2008,105,16.7,22.2,178,6,26
179,2008,105,17.4,23.9,179,6,27
180,2008,105,NA,NA,180,6,28
181,2008,105,17.9,22.3,181,6,29
182,2008,105,17.8,23,182,6,30
183,2008,105,18.9,24.9,183,7,1
184,2008,105,18.6,20.5,184,7,2
185,2008,105,NA,NA,185,7,3
186,2008,105,19.1,30.2,186,7,4
187,2008,105,19.2,22.4,187,7,5
188,2008,105,17.3,20,188,7,6
189,2008,105,16.9,21.4,189,7,7
190,2008,105,18.2,22.2,190,7,8
191,2008,105,19.5,25.7,191,7,9
192,2008,105,20.4,26,192,7,10
193,2008,105,20,21.2,193,7,11
194,2008,105,18.4,20.1,194,7,12
195,2008,105,17.2,20,195,7,13
196,2008,105,17.4,22.8,196,7,14
197,2008,105,18.6,24.3,197,7,15
198,2008,105,18.7,23.8,198,7,16
199,2008,105,18.4,20.7,199,7,17
200,2008,105,18.9,24.7,200,7,18
201,2008,105,19.9,24.6,201,7,19
202,2008,105,19.1,19.1,202,7,20
203,2008,105,18.9,22.6,203,7,21
204,2008,105,19.1,24,204,7,22
205,2008,105,20.3,30.5,205,7,23
206,2008,105,19.8,25.6,206,7,24
207,2008,105,19.9,25.5,207,7,25
208,2008,105,21.8,25,208,7,26
209,2008,105,22.1,26.4,209,7,27
210,2008,105,NA,NA,210,7,28
211,2008,105,NA,NA,211,7,29
212,2008,105,NA,NA,212,7,30
213,2008,105,22.8,33.2,213,7,31
214,2008,105,21.9,21.9,214,8,1
215,2008,105,21.5,26,215,8,2
216,2008,105,22.4,27,216,8,3
217,2008,105,23.5,26,217,8,4
218,2008,105,22.5,26.4,218,8,5
219,2008,105,21.6,26.6,219,8,6
220,2008,105,NA,NA,220,8,7
221,2008,105,NA,NA,221,8,8
222,2008,105,20.7,25.2,222,8,9
223,2008,105,21.1,24.8,223,8,10
224,2008,105,21.8,26.5,224,8,11
225,2008,105,21.3,22.5,225,8,12
226,2008,105,20.3,22.5,226,8,13
227,2008,105,18.7,19.9,227,8,14
228,2008,105,17.4,21,228,8,15
229,2008,105,16.8,26,229,8,16
230,2008,105,17.8,25,230,8,17
231,2008,105,18.5,20.8,231,8,18
232,2008,105,17.8,20.8,232,8,19
233,2008,105,19,23.6,233,8,20
234,2008,105,19.7,26.3,234,8,21
235,2008,105,19.1,20.5,235,8,22
236,2008,105,18.5,22.5,236,8,23
237,2008,105,17.5,25.1,237,8,24
238,2008,105,17.5,19.6,238,8,25
239,2008,105,17.8,23.3,239,8,26
240,2008,105,19.6,25.7,240,8,27
241,2008,105,20.7,28,241,8,28
242,2008,105,20.9,29,242,8,29
243,2008,105,20.9,31.2,243,8,30
244,2008,105,20.5,25.2,244,8,31
245,2008,105,19.8,25.3,245,9,1
246,2008,105,19.7,24,246,9,2
247,2008,105,19.3,23.1,247,9,3
248,2008,105,18.4,22.8,248,9,4
249,2008,105,17.8,24.3,249,9,5
250,2008,105,17.8,20.8,250,9,6
251,2008,105,19.2,22.2,251,9,7
252,2008,105,19.1,31.5,252,9,8
253,2008,105,NA,NA,253,9,9
254,2008,105,18.7,26.5,254,9,10
255,2008,105,17.6,20.5,255,9,11
256,2008,105,15.8,16.6,256,9,12
257,2008,105,13.6,18.1,257,9,13
258,2008,105,13.6,21.1,258,9,14
259,2008,105,14.7,22,259,9,15
260,2008,105,15.5,21,260,9,16
261,2008,105,16,19.7,261,9,17
262,2008,105,17.3,22.1,262,9,18
263,2008,105,16.7,20.3,263,9,19
264,2008,105,17.3,23.3,264,9,20
265,2008,105,17.5,23.6,265,9,21
266,2008,105,17.7,20.9,266,9,22
267,2008,105,17.4,20.9,267,9,23
268,2008,105,16.6,18.1,268,9,24
269,2008,105,15.2,19.1,269,9,25
270,2008,105,15.6,19.5,270,9,26
271,2008,105,15.8,22.8,271,9,27
272,2008,105,16.1,19,272,9,28
273,2008,105,15.7,20.1,273,9,29
274,2008,105,15.5,18.5,274,9,30
275,2008,105,15.8,20.3,275,10,1
276,2008,105,NA,NA,276,10,2
277,2008,105,14.8,14.8,277,10,3
278,2008,105,12.1,17.3,278,10,4
279,2008,105,12.4,25.1,279,10,5
280,2008,105,13.4,25.2,280,10,6
281,2008,105,13.4,20.2,281,10,7
282,2008,105,13.3,20,282,10,8
283,2008,105,NA,NA,283,10,9
284,2008,105,12.6,25.7,284,10,10
285,2008,105,13.6,25.2,285,10,11
286,2008,105,14.7,27.1,286,10,12
287,2008,105,NA,NA,287,10,13
288,2008,105,14.9,19.5,288,10,14
289,2008,105,15,22.6,289,10,15
290,2008,105,15.1,20.8,290,10,16
291,2008,105,15.6,19.6,291,10,17
292,2008,105,14.9,20.4,292,10,18
293,2008,105,NA,NA,293,10,19
294,2008,105,14.5,25.7,294,10,20
295,2008,105,14.4,17.1,295,10,21
296,2008,105,13.3,14.4,296,10,22
297,2008,105,11.2,15.9,297,10,23
298,2008,105,10.6,16.8,298,10,24
299,2008,105,10.6,19.6,299,10,25
300,2008,105,11.1,19.6,300,10,26
301,2008,105,11.1,16.2,301,10,27
302,2008,105,11.1,12.7,302,10,28
303,2008,105,10.6,12.7,303,10,29
304,2008,105,10.7,14.7,304,10,30
305,2008,105,10.2,10.7,305,10,31
306,2008,105,10.7,15.2,306,11,1
307,2008,105,10.4,11.2,307,11,2
308,2008,105,10.7,13,308,11,3
309,2008,105,NA,NA,309,11,4
310,2008,105,10.3,15.4,310,11,5
311,2008,105,10.4,16.7,311,11,6
312,2008,105,10.4,13.2,312,11,7
313,2008,105,10.5,18.6,313,11,8
314,2008,105,10.5,20.2,314,11,9
315,2008,105,11.1,19.8,315,11,10
316,2008,105,11.3,17,316,11,11
317,2008,105,10.6,12.5,317,11,12
